,content,labels
0,你真的红了很开心内场票也可以卖到虽然以前就能听你的越来越听不起你的演唱会不过没关系我会努力变得跟你一样好民谣不应该穷以前你吃过的苦都是值得的难过的日子都是你陪我一起过的你说你是个普通人想要买房结婚我知道愿你有酒有肉有姑娘赵雷,1
1,我是一位土生土长的成都姑娘所有成都的回忆都汇成这首歌喜欢赵雷已经三年了年第一次在沈阳看赵雷演出那时候大二满满的都是对家的回忆在年我认识现在的男朋友之后的日子我们一起迷笛去草莓我们一起听赵雷的现场他现在在昆明读研究生我在成都工作我们就要在成都领证了,7
2,为什么你们成都有成都我们石家庄就只能杀死那个石家庄人,2
3,当初一首郝云的去大理然我义无反顾的背起行囊去了云南现在听到赵雷的成都好吧我正在定机票那么多年一直不敢听的歌就是腾格尔的天堂,7
4,我是安徽人高考填志愿我一本我女朋友二本为了能和她在一起我降分到二本和她一起来到了成都不管选择有没有错至少我不后悔我现在喜欢上了这个城市真的很喜欢我不是老成都也没有那种情怀但听到这首歌心里总有一小块地方被触动五年了我和她很好,6
5,年前我和她一起在成都念大学七年前大学毕业前含泪分手了五年前我们各自匆匆有了自己的家两年前在五年没有互相联系的情况下各自又都结束了彼此失败的婚姻一年前我再次遇到了她毫不犹豫的我再次抓紧了她的手我再也不要放弃她了还有两个月我们就要结婚了成都留下了我们最好的爱情,2
6,哇靠靠终于没有开曲两秒钟的尖叫了啊,1
7,第一次听成都是那个音质不清的版本有一个女生带着四川口音在喊吃火锅再听成都微博上发的钢琴纯净版短一听难忘第三版成都是我们的时光西安演唱会你说打开手电筒吧副歌的旋律重复星空闪耀现在公车很挤音乐能拯救什么我不知道我只知道这一刻我必须在听你唱最终的成都,8
8,喜欢在街头在酒吧在草地上在青岛大海的对面唱着这首熟悉的歌谣个中滋味自己体会即将踏上一段美妙的搭车民谣旅行期待与成都的相遇在成都的街头哼唱着这首歌把手揣进裤兜坐在小酒馆的门口就这样一个个静静的走着消失在灯光的尽头就这样走着走完自己选择的人生,6
9,因为一首歌怀念一座城曾经的天府广场武侯祠锦里杜甫草堂青羊宫春熙路宽窄巷子昭觉寺文殊院都成了回忆,1
10,在四川待了三年是没有听过这首歌的三年后来离开了四川听到这首歌时心里的某个位置突然就被触动了喜欢这首歌的歌词也喜欢这首歌的旋律循环播放了好久好久的现场版成都成都成都带不走的只有你,0
11,喜欢成都的阴晴不定的天气和小雨绵绵喜欢成都喜欢随处可见的火锅店和小吃喜欢每月可以去小酒馆听现场大三了快要毕业了也许以后会离开成都没在成都听一场雷子的演唱会总感觉不完美所以我们号成都见在成都听成都,0
12,因为李志爱上南京因为赵雷爱上成都路上的人总把他乡当故乡那就和解吧那就歌唱吧总之你我都要好好的活着愿你我走更多的路听更多的歌成为一个有用的人,2
13,这首歌反复的唱都唱不厌他在许多现场都唱过我前些天在我的电台也唱过虽然我唱的不咋地也算是对赵雷的崇敬了有个朋友前几天刚去成都我给他推荐这首歌他听后很感动说要去成都的街道去转转深秋刚来这首歌夜里听非常有感觉很高兴又听到这个新版本,4
14,一位江苏男孩因为一位成都女孩而喜欢上了这首歌女孩不喜欢异地恋但是喜欢男孩他们在一起天异地恋天原谅男孩不能去成都一直陪你男孩想,0
15,我奶常扇赵子龙,1
16,好对不起自己学习没学好工作没做好白活好多年,1
17,要是能回到第一次听这首歌的那天该多好,1
18,身在异乡的成都人听这首歌的时候眼泪为何不知不觉从眼角滴下因为他对成都爱的深沉,2
19,核桃树下金银花打卡,1
20,很喜欢的一首歌,3
21,非常喜欢这首歌成都唱出了我们每个人的模样,0
22,九月当兵入伍,1
23,了,1
24,现在怎么样了,1
25,一有天晴,1
26,一有天怕,1
27,让人慵懒放松的歌曲少不入川老不出蜀听歌曲已参透,1
28,为什么真诚的两个人不能相遇,1
29,纯爱没有市场军师不上战场,1
30,摸摸头,1
31,生活会继续它永远有下一阶段,1
32,会被爱的大家都会,1
33,有坑的路不走两次,1
34,如果思念的尽头是重逢就好了,1
35,你真的红了很开心内场票也可以卖到虽然以前就能听你的越来越听不起你的演唱会不过没关系我会努力变得跟你一样好民谣不应该穷以前你吃过的苦都是值得的难过的日子都是你陪我一起过的你说你是个普通人想要买房结婚我知道愿你有酒有肉有姑娘赵雷,1
36,我是一位土生土长的成都姑娘所有成都的回忆都汇成这首歌喜欢赵雷已经三年了年第一次在沈阳看赵雷演出那时候大二满满的都是对家的回忆在年我认识现在的男朋友之后的日子我们一起迷笛去草莓我们一起听赵雷的现场他现在在昆明读研究生我在成都工作我们就要在成都领证了,7
37,为什么你们成都有成都我们石家庄就只能杀死那个石家庄人,2
38,当初一首郝云的去大理然我义无反顾的背起行囊去了云南现在听到赵雷的成都好吧我正在定机票那么多年一直不敢听的歌就是腾格尔的天堂,7
39,我是安徽人高考填志愿我一本我女朋友二本为了能和她在一起我降分到二本和她一起来到了成都不管选择有没有错至少我不后悔我现在喜欢上了这个城市真的很喜欢我不是老成都也没有那种情怀但听到这首歌心里总有一小块地方被触动五年了我和她很好,6
40,年前我和她一起在成都念大学七年前大学毕业前含泪分手了五年前我们各自匆匆有了自己的家两年前在五年没有互相联系的情况下各自又都结束了彼此失败的婚姻一年前我再次遇到了她毫不犹豫的我再次抓紧了她的手我再也不要放弃她了还有两个月我们就要结婚了成都留下了我们最好的爱情,2
41,哇靠靠终于没有开曲两秒钟的尖叫了啊,1
42,第一次听成都是那个音质不清的版本有一个女生带着四川口音在喊吃火锅再听成都微博上发的钢琴纯净版短一听难忘第三版成都是我们的时光西安演唱会你说打开手电筒吧副歌的旋律重复星空闪耀现在公车很挤音乐能拯救什么我不知道我只知道这一刻我必须在听你唱最终的成都,8
43,喜欢在街头在酒吧在草地上在青岛大海的对面唱着这首熟悉的歌谣个中滋味自己体会即将踏上一段美妙的搭车民谣旅行期待与成都的相遇在成都的街头哼唱着这首歌把手揣进裤兜坐在小酒馆的门口就这样一个个静静的走着消失在灯光的尽头就这样走着走完自己选择的人生,6
44,因为一首歌怀念一座城曾经的天府广场武侯祠锦里杜甫草堂青羊宫春熙路宽窄巷子昭觉寺文殊院都成了回忆,1
45,在四川待了三年是没有听过这首歌的三年后来离开了四川听到这首歌时心里的某个位置突然就被触动了喜欢这首歌的歌词也喜欢这首歌的旋律循环播放了好久好久的现场版成都成都成都带不走的只有你,0
46,喜欢成都的阴晴不定的天气和小雨绵绵喜欢成都喜欢随处可见的火锅店和小吃喜欢每月可以去小酒馆听现场大三了快要毕业了也许以后会离开成都没在成都听一场雷子的演唱会总感觉不完美所以我们号成都见在成都听成都,0
47,因为李志爱上南京因为赵雷爱上成都路上的人总把他乡当故乡那就和解吧那就歌唱吧总之你我都要好好的活着愿你我走更多的路听更多的歌成为一个有用的人,2
48,这首歌反复的唱都唱不厌他在许多现场都唱过我前些天在我的电台也唱过虽然我唱的不咋地也算是对赵雷的崇敬了有个朋友前几天刚去成都我给他推荐这首歌他听后很感动说要去成都的街道去转转深秋刚来这首歌夜里听非常有感觉很高兴又听到这个新版本,4
49,一位江苏男孩因为一位成都女孩而喜欢上了这首歌女孩不喜欢异地恋但是喜欢男孩他们在一起天异地恋天原谅男孩不能去成都一直陪你男孩想,0
50,我奶常扇赵子龙,1
51,好对不起自己学习没学好工作没做好白活好多年,1
52,要是能回到第一次听这首歌的那天该多好,1
53,身在异乡的成都人听这首歌的时候眼泪为何不知不觉从眼角滴下因为他对成都爱的深沉,2
54,核桃树下金银花打卡,1
55,很喜欢的一首歌,3
56,非常喜欢这首歌成都唱出了我们每个人的模样,0
57,九月当兵入伍,1
58,了,1
59,现在怎么样了,1
60,一有天晴,1
61,一有天怕,1
62,让人慵懒放松的歌曲少不入川老不出蜀听歌曲已参透,1
63,为什么真诚的两个人不能相遇,1
64,纯爱没有市场军师不上战场,1
65,摸摸头,1
66,生活会继续它永远有下一阶段,1
67,会被爱的大家都会,1
68,有坑的路不走两次,1
69,如果思念的尽头是重逢就好了,1
70,可惜你身边做不到只有我,1
71,可惜我相貌平平不是你的最佳人选,1
72,文字真的能共鸣吗,1
73,还会再见的对吧,1
74,过了期的照片,1
75,主打的就是好听,9
76,喜欢成都是因为有挂念的人在那里生活,6
77,时间是个圆圈你们最终会相见,1
78,时间是个圆圈你们最终会相见,1
79,黄龙溪的小船上有个人说成都这座城市懒懒的又迷人逃离北上广的最佳地方,7
80,成都我想你在外灵魂总是孤独的想念你我的老朋友,2
81,随时欢迎来成都,2
82,成都本地人应该感受不大感受大的应该是到成都上学和务工的一些人,2
83,什么时候我也能去赵雷口中的成都,4
84,恭喜,1
85,热,1
86,我想呀带你到我的城市里和你喝两杯带着微醺的你看看我长大的地方不美但我很爱很想和你分享一下对自己说路上小心早点回家,1
87,怀念,1
88,考上了吗,1
89,去过了,1
90,去西藏能改变什么,1
91,去西藏能改变什么,1
92,有些类似,1
93,东北的真好,1
94,过几天去北京看看梦想中的大学你还在吗,1
95,什么感受,1
96,我想找个女孩子为家,1
97,了哎,1
98,抱抱,1
99,从成都到昆明还没遇到理想的对象,2
100,好听,9
101,没啥好说的就是好听,9
102,成都这座城市有几多欢喜几多忧愁感觉是一座发烧的城市感觉是一座年轻的城市感觉是一座独特的城市感觉是一座充满奇幻的城市,7
103,我可能做不到不想你此时此刻听着你喜欢的歌而我无法坦然去面对这样的结局,3
104,今天是年月日星期五我于早上,1
105,今天他唱的这首歌,1
106,加油加油加油,9
107,哎小时候回老家老家哥哥的车上就放着这首歌现在听这首歌能听到绵绵的乡愁呢,1
108,老家的天气预报必须显示,1
109,不然我都不敢,1
110,爱,1
111,在唱这首歌唱完对象直接吻上来了,1
112,把左手把右手大拇指往这划大拇指放这里放这里,1
113,每每听这首歌总会想起你六年了即使我们微信都在我也不敢打扰你六年前高考前夕我拉着你笃定将来一定去成都走走可这么多年过去再也回不去了或许你把我遗忘但只要这首歌在我都会一直记在心里,2
114,最爱的雷子,1
115,各位成都的夏天热吗,2
116,各位成都的夏天热嘛,2
117,跟你一比我仿佛觉得自己很幸福,1
118,不能,1
119,我的前任唱着雷子的成都追到了我可他却一直以工作忙为由不愿陪我去一趟成都后来我们分手我一个人去了成都一个喜欢我很久的男生推掉了工作安排飞到成都找我最后陪我在成都的街头走一走的是他不是前任现在他是我的老公每年我们都会去成都纪念我们的相恋,10
